latitude,longitude,gi_star,p_value,hotspot_category,weight_sum
8.757818901119677,76.72567954789945,-0.39793162443676333,0.235,Not Significant,0.009812074
8.72345450258016,76.72733886857337,-0.842652106265615,0.001,Cold Spot (99% Confidence),0.009812074
8.727070937159375,76.72735549706748,-0.17394297676174816,0.478,Not Significant,0.003991352
8.745153099263666,76.72743874693002,-0.2532748758303728,0.418,Not Significant,0.003991352
8.730679089312058,76.72918958002349,-0.44459138046909374,0.19,Not Significant,0.007816398
8.772267986879456,76.72938160628021,-0.3513418538525617,0.323,Not Significant,0.009812074
8.777692618655175,76.7294067230872,,0.001,Not Significant,0.007816398
8.732479012082463,76.7310153635334,-0.12220477222494756,0.438,Not Significant,0.003991352
8.74513649927818,76.73107377974922,-0.7130086414832949,0.02,Cold Spot (95% Confidence),0.003991352
8.761410398413625,76.73114901547794,0.09756348775348966,0.304,Not Significant,0.007982704
8.765026818459297,76.73116575426519,-0.5375751606888075,0.227,Not Significant,0.01363712
8.770451447173519,76.73119087590418,-0.4351216334532294,0.211,Not Significant,0.015632796
8.772259656383639,76.73119925337284,-0.15092662651005148,0.49,Not Significant,0.007816398
8.728854288189774,76.73281612430519,-0.48280276379747483,0.159,Not Significant,0.027440546
8.741511765692444,76.73287457664064,-0.842733004334449,0.001,Cold Spot (99% Confidence),0.007816398
8.750552815649076,76.73291638217998,,0.001,Not Significant,0.01363712
8.757785652369455,76.7329498589382,-0.5374132488158723,0.228,Not Significant,0.019624148
8.72884598213319,76.7346335574855,0.7990017639542903,0.119,Not Significant,0.009812074
8.772242969170241,76.73483454217249,-0.28480972717139463,0.393,Not Significant,0.015632796
8.728829343930178,76.73826841845228,0.38219006629011787,0.183,Not Significant,0.017628472
8.743294989823351,76.73833543826306,-0.6800052127691458,0.036,Cold Spot (95% Confidence),0.019624148
8.694465089962025,76.73992697038801,,0.001,Not Significant,0.01363712
8.712547162159751,76.7400105081394,-0.5502810796114833,0.137,Not Significant,0.01363712
8.728821011783836,76.74008584623499,0.16917252368370295,0.246,Not Significant,0.023449194
8.73243742083327,76.7401026078655,0.18672120419168042,0.264,Not Significant,0.015632796
8.757752264004386,76.74022014123912,,0.001,Not Significant,0.015632796
8.714347041579444,76.7418362279428,-0.10574742575685836,0.5,Not Significant,0.007816398
8.741470087186556,76.74196203070615,-0.4002597822623504,0.289,Not Significant,0.003991352
8.7432782887869,76.74197043199655,-0.6038480300152357,0.152,Not Significant,0.007816398
8.752319294084565,76.74201246552718,,0.001,Not Significant,0.007816398
8.734228924177417,76.74374589400064,0.0467888573920882,0.293,Not Significant,0.009812074
8.783041865151748,76.74579108984278,,0.001,Not Significant,0.019624148
8.708897410889897,76.74726309512174,0.2524887378285269,0.222,Not Significant,0.003991352
8.71251380984281,76.74727988686554,-0.47271257566246067,0.126,Not Significant,0.037086314
8.716130208077105,76.74729668584972,1.6859014729548896,0.062,Not Significant,0.009812074
8.7378285823757,76.74739763182232,,0.001,Not Significant,0.017628472
8.766759707740107,76.74753263206111,,0.001,Not Significant,0.007816398
8.708889054632763,76.74908041783938,-0.4211039825614626,0.272,Not Significant,0.01363712
8.759510110864058,76.75113397194,,0.001,Not Significant,0.007816398
8.698023146651392,76.75266456919077,,0.001,Not Significant,0.023449194
8.725146058120416,76.7527909133662,-0.042096656623221096,0.408,Not Significant,0.01180775
